KeyName,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Tranditional Chinese (CHT),Simplified Chinese (CHN),"Indonesian
"
HUD_GAMEOVER_RETRY_JOY,Press A to Retry,Aperte A para Recomeçar,Aperta A p tentar d novo,"Нажмите ""А"" для продолжения",Aを おして リトライ,Drücke A um neu zu starten,Appuyez sur A pour recommencer,Pulsa A para reintentar,Zmáčkni A pro návrat,재도전 하려면 A를 누르세요.,Druk op A om het opnieuw te proberen.,"Premi A per Riprovare
",按A鍵重試,按 A 重试,
HUD_GAMEOVER_MENU,Press ESC to return to Menu,Aperte ESC para ir ao Menu Principal,ESC se quise disistir noobão,"Нажмите ""Esc"" для возврата в мень",ESCを おして メニューにもどる,Drücke ESC um zum Hauptmenü zu gehen,Appuyez sur ESC pour retourner au menu principal,Pulsa ESC para volver al menú,"Stiskni ESC pro menu
",메뉴로 돌아가려면 ESC를 누르세요.,Druk op ESC om terug te gaan naar het Menu,"Premi ESC per tornare al Menu
",按ESC鍵返回菜單,按 ESC键 返回菜单,
HUD_GAMEOVER_MENU_JOY,Press B to return to Menu,Aperte B para ir ao Menu Principal,Aperta B p pedir pra sair kkk,"Нажмите ""B"" для возврата в мень",Bを おして メニューにもどる,Druecke B um zum Hauptmenü zu gehen,Appuyez sur B pour retourner au menu principal,Pulsa B para volver al menú,"Stiskni B pro menu
",메뉴로 돌아가려면 B를 누르세요.,Druk op B om terug te gaan naar het Menu,"Premi B per tornare al Menu
",按B返回目錄,按 B 返回菜单,
HUD_KILL1,KILL,MORTE,MATO,УБИЙСТВО,キル,Kill,MORT,Muerte,kill,KILL,KILL,UCCISIONE,殺害,击杀,
HUD_KILL2,DOUBLE KILL,MORTE DUPLA,MATO DOIS,ДВОЙНОЕ УБИЙСТВО,ダブル キル,Doppelkill,DOUBLE TUERIE,Doble muerte,Double Kill,DOUBLE KILL,DOUBLE KILL,"DOPPIA UCCISIONE
",雙重殺,双杀,
HUD_KILL3,TRIPLE KILL,MORTE TRIPLA,MATO TREIS,ТРОЙНОЕ УБИЙСТВО,トリプル キル,Dreifachkill,TRIPLE TUERIE,Triple Muerte,Triple kill,TRIPLE KILL,TRIPLE KILL,"TRIPLA UCCISIONE
",三重殺,三杀,
HUD_KILL4,MULTI KILL,MULTI MORTE,MATANÇA,КВАДРАКИЛ,マルチ キル,Multikill,MULTI TUERIE,Multimuerte,Multi kill,MULTI KILL,MULTI KILL,"MEGA UCCISIONE
",多重殺,多重击杀,
HUD_KILL5,ULTRA KILL,ULTRA MORTE,MUITA MATANÇA,ПЕНТАКИЛ!,ウルトラ キル,Ultrakill,ULTRA TUERIE,Ultramuerte,Ultra kill,ULTRA KILL,ULTRA KILL,ULTRA UCCISIONE,超級殺!,,
HUD_KILL6,MONSTER KILL,MONSTER MORTE,TA LOCO,МЯСОРУБКА,モンスター キル,Monsterkill,TUERIE MONSTRE,"Monster Kill
","Monsterkill
",MONSTER KILL,MONSTER KILL,"MASSACRO
",怪物殺害,,
HUD_KILL7,GODLIKE,DIVINO,CABRA HOMEM,БОГОПОДОБНО,まるで かみさま,Göttlich,DIVIN,Divino,Godlike,GODLIKE,GODDELIJK,"DIVINO
",你是神,,
HUD_KILL8,SUPER GOD LIKE?,SUPER DIVINO?,SE PUDESSE MATAVA MIL,ДЬЯВОЛЬСКОЕ МЕСИВО,きせきの かみプレイ?,Super göttlich?,SUPER DIVIN?,Super Divino,Super GODlike,SUPER GOD LIKE?,SUPER GODDELIJK?,SUPER DIVINO?,比神還厲害?,,
HUD_KILL9,YOU MUST BE CHEATING,VOCÊ TÁ ROUBANDO,"TA ROBANO, É GAMESHARK",ДА ТЫ ЧИТЕР,チートは よくない,Du mogelst,VOUS TRICHEZ,Debes estar haciendo trampas,Ty podvádíš že ?!,치트 친 겁니까?,JE BENT AAN HET VALSSPELEN,"STAI USANDO CHEAT
",你一定是作弊,,
HUD_KILL10,ARE YOU SERIOUS?,É SÉRIO ISSO?,Q ZUEIRA,НЕВОЗМОЖНО,ほんと?,Ernsthaft?,SERIEUSEMENT ?,En serio?,Myslíš to vážně ?,미친거 아냐?,BEN JE SERIEUS?,SEI SERIO?,你是認真的嗎？,,
HUD_PRECISIONKILL,PRECISION KILL,MORTE PRECISA,MATO BONITO,СНАЙПЕР,せいみつ キル,Präzisionskill,TIR DE PRECISION,Muerte precisa,Precizní kill,PRECISION KILL,PRECISIE-KILL,"UCCISIONE DI PRECISIONE
",精確殺害,,
HUD_BOUNTY,BOUNTY,ESTRELAS,GRANA,НАГРАДА,かくとくきん,Kopfgeld,PRIME,Estrellas,Odměna,현상금,PREMIE,"TAGLIA
",擊倒,,
HUD_UNLOCK_HUNTER,NEW HUNTER UNLOCKED!,NOVO CAÇADOR DESTRAVADO!,NOVO BONECO!,ОТКРЫТ НОВЫЙ ПЕРСОНАЖ ,あらたな ハンターを アンロック!,Neuer Kopfgeldjäger freigeschaltet!,NOUVEAU CHASSEUR DEBLOQUE!,Nuevo cazador desbloqueado!,Nový lovec odemčen !,새 헌터가 잠금해제 되었습니다!,NIEUWE HUNTER VRIJGESPEELD!,NUOVO CACCIATORE SBLOCCATO!,新獵人解鎖！,新猎人已经解锁！,
HUD_UNLOCK_RAFF,YOU CAN NOW PLAY WITH RAFF,AGORA VOCÊ PODE JOGAR COM RAFF,AGORA DA P PEGAR O ALEMÃO,ВЫ МОЖЕТЕ ИГРАТЬ РАФФОМ,RAFFを つかえるように なりました,Dein neuer Kopfgeldjäger heißt Raff,VOUS POUVEZ JOUER AVEC RAFF,Ahora puedes jugar con Raff,Nyní můžeš hrát za Raffa,이제 RAFF를 플레이 할 수 있습니다!,JE KUNT NU SPELEN MET RAFF,ORA PUOI USARE RAFAELLO,現在，您可以使用RAFF,,
HUD_UNLOCK_BIU,YOU CAN NOW PLAY WITH BIU,AGORA VOCÊ PODE JOGAR COM BIU,AGORA DA P JOGAR COM O TIÃO,ВЫ МОЖЕТЕ ИГРАТЬ БЬЮ,RAFFを つかえるように なりました,Dein neuer Kopfgeldjäger heißt Biu,VOUS POUVEZ JOUER AVEC BIU,Ahora puedes jugar con Biu,Nyní můžeš hrát za Biu,이제 BIU를 플레이 할 수 있습니다!,JE KUNT NU SPELEN MET BIU,ORA PUOI USARE MINO,現在，您可以使用BIU,,
HUD_UNLOCK_PUNNY,YOU CAN NOW PLAY WITH PUNNY,AGORA VOCÊ PODE JOGAR COM PUNNY,AGORA DA P JOGAR C A NOVINHA,ВЫ МОЖЕТЕ ИГРАТЬ ПЭННИ,BIUを つかえるように なりました,Dein neuer Kopfgeldjäger heißt Punny,VOUS POUVEZ JOUER AVEC PUNNY,Ahora puedes jugar con Punny,Nyní můžeš hrát za Punny,이제 PUNNY를 플레이 할 수 있습니다!,JE KUNT NU SPELEN MET PUNNY,ORA PUOI USARE NINA,現在，您可以使用PUNNY,,
HUD_UNLOCK_ASS,YOU CAN NOW PLAY WITH ASS,AGORA VOCÊ PODE JOGAR COM ASS,AGORA DA P PEGAR O JEGUE,ВЫ МОЖЕТЕ ИГРАТЬ АСОМ,ASSを つかえるように なりました,Dein neuer Kopfgeldjäger heißt Ass,VOUS POUVEZ JOUER AVEC ASS,Ahora puedes jugar con Ass,Nyní můžeš hrát za Ass,이제 ASS를 플레이 할 수 있습니다!,JE KUNT NU SPELEN MET ASS,ORA PUOI USARE ASINO,現在，您可以使用ASS,,
HUD_UNLOCK_ITEM,NEW ITEM UNLOCKED!,NOVO ITEM DESTRAVADO!,NOVO BRINQUEDO DESTRAVADO KKK,ОТКРЫТ НОВЫЙ ПРЕДМЕТ,あらたな アイテムを アンロック!,Neues Item freigeschaltet!,NOUVEL OBJET DEBLOQUE!,Nuevo objeto desbloqueado!,"Nový předmět odemčen
",새 아이템이 잠금해제 되었습니다.!,NIEUW ITEM VRIJGESPEELD!,NUOVO OGGETTO SBLOCCATO!,新物品解鎖！,新物品已经解锁！,
HUD_UNLOCK_ITEM_GENERIC,YOU CAN NOW START WITH: ,AGORA VOCÊ PODE COMEÇAR COM: ,DA P COMEÇAR COM:,ВЫ МОЖЕТЕ НАЧАТЬ С:,スタートできるようになりました: ,Dieses Item ist ab jetzt verfügbar:,VOUS POUVEZ COMMENCER AVEC:,Ahora puedes empezar con:,Nyní můžeš začít s:,이제 플레이 할 수 있는 캐릭터 : ,JE KUNT NU BEGINNEN MET:,PUOI COMINCIARE CON: ,你現在可以開始使用：,你现在可以开始使用：,
HUD_UNLOCK_RELIC_PIECE,RELIC PIECE UNLOCKED!,PARTE DE RELÍQUIA DESTRAVADA!,PARTE DE LEMBRANCINHA DESBLOQ,ОТКРЫТА ЧАСТЬ РЕЛИКВИИ,いぶつのかけらを アンロック!,Reliquienstück freigeschaltet!,PARTIE DE RELIQUE DEBLOQUEE!,"Pieza de relíquia desbloqueado!
","Kousek relikvie odemčen!
",유물의 조각이 잠금해제 되었습니다!,RELIC-STUK VRIJGESPEELD!,PEZZO DI RELIQUIA SBLOCCATO!,遺跡PIECE解鎖！,遗迹部件解锁！,
HUD_UNLOCK_RELIC_ALLPIECES,UNLOCK ALL 3 PIECES OF THIS RELIC,DESTRAVE 3 PARTES DESTA RELÍQUIA,DESTRAVE 3 PARTES DESTA LEMBRANCINHA,СОБЕРИТЕ 3 ЧАСТИ ЧТОБЫ ОТКРЫТЬ РЕЛИКВИЮ,このいぶつの 3つすべてのかけらを アンロック,Schalte 3 Stücke dieser Reliquie frei,DEBLOQUER LES 3 PARTIES DE CETTE RELIQUE,Desbloquea 3 piezas de esta reliquia,Odemkni všechny 3 kousky relikvie,유물의 3 조각 모두 잠금해제 되었습니다!,SPEEL ALLE 3 DELEN VAN DEZE RELIC VRIJ,SBLOCCA TUTTI E 3 I PEZZI DI QUESTA RELIQUIA,解開這個遺跡全部3件,解锁这个遗迹的三个部件,
HUD_UNLOCK_RELIC,NEW RELIC UNLOCKED!,NOVA RELÍQUIA DESTRAVADA,+ UMA LEMBRANCINHA AÍ,ОТКРЫТА НОВАЯ РЕЛИКВИЯ,あらたな いぶつを アンロック!,Neue Reliquie freigeschaltet!,NOUVELLE RELIQUE DEBLOQUEE!,Nueva reliquia desbloqueada!,Nová relikvie odemčena!,새 유물이 잠금해제 되었습니다!,NIEUWE RELIC VRIJGESPEELD!,NUOVA RELIQUIA SBLOCCATA!,新Relic的解鎖！,新遗迹解锁！,
HUD_UNLOCK_RELIC_COMPLETE,YOU HAVE FOUND ALL THE PIECES OF A RELIC,VOCÊ ENCONTROU TODAS AS PARTES DA RELÍQUIA,ACHOU TDS OS PEDAÇO DA LEMBRANCINHA,ВЫ НАШЛИ ВСЕ ЧАСТИ РЕЛИКВИИ,すべての いぶつのかけらを はっけんした,Du hast alle Stücke einer Reliquie gefunden,VOUS AVEZ TROUVE TOUTES LES PARTIES D'UNE RELIQUE,Has encontrado todas las piezas de una reliquia,Našel jsi všechny kousky relikvie,이 유물의 모든 조각을 찾았습니다!,JE HEBT ALLE DELEN VAN EEN RELIC GEVONDEN,HAI TROVATO TUTTI I PEZZI DI UNA RELIQUIA,你已發現所有RELIC,你已找到这个遗迹的所有部件,
HUD_UNLOCK_REQ_RAFF,Buy All Checkpoints to unlock Raff,Compre todos os Portais para destravar Raff,Compra td os atalho p liberar o Alemão,"Купите все чекпоинты, чтобы открыть Раффа",すべての チェックポイントを こうにゅうして Raffをアンロック,Kaufe alle Checkpoints um Raff freizuschalten,Acheter tous les checkpoints pour débloquer Raff,Comprar todos los puntos de control para desbloquear a Raff,Kup si všechny checkpointy abys odemkl Raffa,모든 체크포인트를 구매하면 Raff가 잠금해제 됩니다.,Koop alle Checkpoints om Raff vrij te spelen,Compra tutti i Checkpoint per sbloccare Rafaello,購買所有暫存點，解鎖RAFF,购买所有存盘点来解锁Raff,
HUD_UNLOCK_REQ_BIU,Beat the game without using Checkpoints to unlock Biu,Complete o jogo começando pelo primeiro Portal para destravar Biu,Zera sem usa atalho p liberar o Tião,"Пройдите игру без чекпоинтов, чтобы открыть Бью",チェックポイントを つかわずに ゲームをクリアして Biuをアンロック,"Spiele das gesamte Spiel ohne Checkpoints, um Biu freizuschalten",Terminer le jeu sans utiliser de checkpoints pour débloquer Biu,Pasarte el juego sin utilizar puntos de control para desbloquear a Biu,Dokonči hru bez použití checkpointů abys odemkl Biu,Biu를 잠금해제 하기 위해서는 체크포인트를 사용하지 말고 게임을 끝내야합니다 ,Doorsta het spel zonder Checkpoints te gebruiken om Biu vrij te spelen,Vinci il gioco senza utilizzare Checkpoint per sbloccare Mino,不使用暫存點完成遊戲，解鎖BIU,不使用存盘点打通游戏可解锁Biu,
HUD_UNLOCK_REQ_PUNNY,Get 80000 bounty to unlock Punny,Consiga 80000 estrelas para destravar Punny,Pega um montão de grana p destravar a Novinha,"Получите 80000 награды, чтобы открыть Пэнни",かねを 80000 かくとくして Punnyをアンロック,Sammle 80000 Kopfgeld um Punny freizuschalten,Obtenir 80000 de prime pour débloquer Punny,Obtener 80000 estrellas para desbloquear a Punny,Získej 80 000 odměn abys odemkl Punny,80000의 현상금을 모으면 Punny가 잠금해제 됩니다.,Ontvang 80000 premie om Punny vrij te spelen,Ottieni una Taglia di 80000 per sbloccare Nina,獲取賞金80000，解鎖PUNNY,获得80000赏金以解锁Punny,
HUD_RELIC_DETECT,RELIC DETECTED!,RELÍQUIA DETECTADA!,LEMBRANCINHA N RADAR!,РЕЛИКВИЯ ОБНАРУЖЕНА!,いぶつを はっけんした!,Reliquie entdeckt!,Relique détectée,"¡Reliquia detectada!
","Detekována Relikvie!
",유물 탐지됨!,RELIC ONTDEKT!,RELIQUIA RIVELATA!,遺跡已刪除！,探测到遗迹！,
HUD_RELIC_DETECT_KEY,"PRESS ""E"" TO SEARCH FOR BURIED TREASURE","APERTE ""E"" PARA PROCURAR O TESOURO ENTERRADO","APERTA ""E"" P ACHAR A LEMBRANCINHA NO CHÃO","НАЖМИТЕ ""Е"" ДЛЯ ПОИСКА СОКРОВИЩА","""E"" をおして たからを さがす","Drücke ""E"" um nach dem Schatz zu graben","Appuyez sur ""E"" pour chercher le trésor enterré","Pulsa E para buscar tesoro enterrado
","Zmáčkni ""E"" pro hledání zakopaného pokladu","묻혀진 보물을 탐색하려면 ""E""를 누르세요","DRUK OP ""E"" OM TE ZOEKEN NAAR VERBORGEN SCHATTEN","PREMI ""E"" PER CERCARE UN TESORO SEPOLTO",按“E”來搜索寶藏,按“E”搜索被埋藏的宝藏,
HUD_RELIC_DETECT_JOY,"PRESS ""X"" TO SEARCH FOR BURIED TREASURE","APERTE ""X"" PARA PROCURAR O TESOURO ENTERRADO","APERTA ""X"" P ACHAR A LEMBRANCINHA NO CHÃO","НАЖМИТЕ ""X"" ДЛЯ ПОИСКА СОКРОВИЩА","""X"" をおして たからを さがす","Drücke ""X"" um nach dem Schatz zu graben","Appuyez sur ""X"" pour chercher le trésor enterré",Pulsa X para buscar tesoro enterrado,"Zmáčkni ""X"" pro hledání zakopaného pokladu","묻혀진 보물을 탐색하려면 ""X""를 누르세요","DRUK OP ""X"" OM TE ZOEKEN NAAR VERBORGEN SCHATTEN","PREMI ""X"" PER CERCARE UN TESORO SEPOLTO",按“X”來搜索寶藏,按“X”搜索被埋藏的宝藏,
HUD_RELIC_FOUND,YOU FOUND IT!,VOCÊ ENCONTROU!,ACHOU!,ВЫ НАШЛИ ЕЕ!,はっけんした!,Gefunden!,VOUS L'AVEZ TROUVÉ!,"¡Lo encontraste!
",Našel jsi to!,유물을 찾았습니다!,JE HEBT HET GEVONDEN!,TROVATO!,你發現它！,你找到了宝藏！,
HUD_RELIC_FOUND_KEY,"PRESS ""E"" TO DIG","APERTE ""E"" PARA CAVAR","""E"" CAVA MALUCO!","НАЖМИТЕ ""Е"" ЧТОБЫ КОПАТЬ","""E"" をおして ほる","Drücke ""E"" um zu graben","Appuyez sur ""E"" pour creuser","Pulsa E para cavar
","Zmáčkni ""E"" pro kopání pokladu","파내려면 ""E""를 누르세요","DRUK OP ""E"" OM TE GRAVEN","PREMI ""E"" PER SCAVARE",按“E”挖,按“E”进行挖掘,
HUD_RELIC_FOUND_JOY,"PRESS ""X"" TO DIG","APERTE ""X"" PARA CAVAR","""X"" CAVA MALUCO!","НАЖМИТЕ ""X"" ЧТОБЫ КОПАТЬ","""X"" をおして ほる","Drücke ""X"" um zu graben","Appuyez sur ""X"" pour creuser",Pulsa X para cavar,"Zmáčkni ""X"" pro kopání pokladu","파내려면 ""X""를 누르세요","DRUK OP ""X"" OM TE GRAVEN","PREMI ""X"" PER SCAVARE",按“X”挖,按”X“进行挖掘,
,,,,,,,,,,,,,,,
ASS_RELIC,There is treasure buried somewhere around here!,Tem tesouro enterrado por aqui em algum lugar!,TEM PRESENTE ENTERRADO AQUE,There is treasure buried somewhere around here!,このちかくに たからが うまっています!,Hier ist irgendwo ein Schatz vergraben!,Il y a un trésor enterré quelque part par ici!,Hay un tesoro enterrado por aquí!,Někde tady je zakopaný poklad,이 근처 어딘가에 보물이 묻혀있다.,Er is hier in de buurt een schat begraven!,C'è un tesoro sepolto da qualche parte qui intorno!,,这里的某个地方埋藏了宝藏！,
ASS_CONGRATS,Nice find. I suppose I cannot charge you for that one...,Belo achado. Imagino que não posso te cobrar por isso aí...,Q PALHA. EU QRIA VENDER P VC ESSE,Nice find. I suppose I cannot charge you for that one...,よくみつけました。 このことで おかねをとる つもりはありません...,Schöner Fund. Für den kann ich wohl nichts verlangen...,Jolie trouvaille! J'imagine que je ne peux pas te la facturer celle là...,Enhorabuena. Supongo que no te puedo cobrar por eso...,"Pěkný nález, věřím že nebude jen jeden",잘 찾았네. 이거 요금청구는 할수 없겠구만...,Goed gevonden. Ik neem aan dat je me hiervoor niet gaat betalen...,"Ottima scoperta. Suppongo che non possa farti pagare per quello...
",,,
ASS_TUTORIAL,"Good morning, sunshine. Maybe you should try the tutorial first?","Bom dia, lindeza. Talvez você deva tentar o tutorial primeiro.",EI NOOB. MELHOR ENTRAR NA ESCOLINHA ANTES KKK,"Good morning, sunshine. Maybe you should try the tutorial first?",おはよう、 おねぼうさん。 さいしょに チュートリアルを うけませんか?,"Guten Morgen, Faulpelz. Was meinst du, ab zum Tutorial?","Bonjour, mon rayon de soleil. Peut-être que devriez-vous commencer par le tutoriel d'abord?","Buenos días, sol. Tal vez deberías probar el tutorial primero?","Dobré ráno, možná bys nejdřív chtěl skusit tutoriál",좋은 아침이네. 일단 튜토리얼을 해보는게 어떻겠나.,Goedemorgen schat. Misschien moet je de tutorial eerst proberen?,"Buongiorno, Tesoro. Forse dovresi provare il Tutorial per cominciare?",,早上好。或许你应该先试试教程关？,
ASS_GREETING,I have located some relics down on the Asteroid Dungeon. Hop on the teleporter!,Eu localizei algumas relíquias no Asteróide Masmorra. Entre no teleportador!,ACHEI COISA MASSA NA PEDRA ALI. ENTRA NO PORTALZINHO,I have located some relics down on the Asteroid Dungeon. Hop on the teleporter!,しょうわくせいダンジョンに いぶつをおいてきました。 テレポーターに のってください!,Ich habe einige Reliquien auf dem Dungeonasteroiden entdeckt. Zum Teleporter!,J'ai localisé quelques reliques sur le donjon Astéroid. Hop sur le téléporteur!,He localizado algunas reliquias en la mazmorra Asteroide. Entra en el teletransportador!,"Zjistil jsem něaké relikvie v asteroidí kobce, šup do teleportu!",난 소행성 던전에 몇 유물들을 눈여겨보아왔다네. 전송기로 뛰어들게나.,Ik heb een paar relics gevonden bij de Kerker der Astroïden. Spring op de teleporter!,"Ho localizzato alcune reliquie nel Dugeon Asteroide. Salta sul teletrasporto!
",,我探测到行星地牢里有一些遗迹。快过去传送门！,
ASS_FIRSTSTAGEDONE,"Each relic has 3 parts. If you find any part, I’ll let you buy it from me.","Cada relíquia tem 3 partes. Se você encontrar uma, eu deixo você comprá-la de mim.",CADA LEMBRANCINHA TEM 3 PEDAÇO. EU VO ACHA PRIMEIRO E TE VENDER KKK,"Each relic has 3 parts. If you find any part, I’ll let you buy it from me.",いぶつは 3つのぶぶんにわかれています。 もしあなたが どれかをみつけたら、 わたしから かってもらいます,"Jede Reliquie hat 3 Stücke. Wenn du eins findest, verkauf ich es dir gerne zurück.","Chaque relique possède 3 parties. Si vous trouvez une partie, je vous laisserai me l'acheter.","Cada reliquia tiene 3 partes. Si encuentras una parte, te la venderé.","Každá relikvie má 3 kousky, měl bys najít všechny. Nechám tě něaké koupit ode mě.","각 유물은 3 부분으로 되어있다네. 만약 자네가 어떤 조각이라도 찾아낸다면, 나에게서 살수 있다네","Elk relic heeft 3 delen. Als je een onderdeel hebt gevonden, mag je het van me overkopen.","Ogni reliquia è composta da 3 parti. Se non trovi una parte, te la lascerò acquistare da me.",,每个遗迹由三部分组成。如果你找到任意一部分，你可以从我这里买到他。,
ASS_CHECKPOINTREACHED,"I could teleport you straight to Stage 2. Trouble worth some money, no?","Eu poderia te teleportar direto para a Fase 2. Vale uma grana, não?",QUER UM ATALHO P MUNDO 2? ABRO UM POR UNS TROCADO VLW,"I could teleport you straight to Stage 2. Trouble worth some money, no?",あなたを ステージ2につれていけます。 おかねをはらうだけのかちがある、 そうでしょう?,Ich könnte dich direkt zu Level 2 teleportieren. Natürlich nicht umsonst.,"Je peux vous téléporter au Niveau 2 en échange d'argent. Ca en vaut la peine, non?","Podría teletransportarte a la fase 2. Pero vale dinero, no?",Můžu tě nechat teleportovat do úrovně 2 ale práce stojí něaké peníze ne ?,난 자네를 스테이지 2로 보내줄 수 있다네. 돈을 좀 들인다면 말이지.,"Ik zou je meteen naar Niveau 2 kunnen teleporteren. Kosten noch moeite besparen, nietwaar?","Posso teletrasportarti direttamente al Livello 2. Un favore per qualche moneta, ci stai?",,我可以直接将你传送到第二关。不过这得花点钱，你觉得怎么样？,
ASS_FIRSTRELIC,Assemble the first relic by collecting all of its 3 pieces in Stage 1.,Monte a primeira relíquia ao coletar suas 3 partes na Fase 1,MONTE A PRIMEIRA LEMBRANCINHA PEGANDO OS PEDAÇO NA FASE 1,Assemble the first relic by collecting all of its 3 pieces in Stage 1.,ステージ1で 3つのかけらをあつめて さいしょのいぶつを くみたててください,"Sammle alle 3 Stücke der ersten Reliquie in Level 1, um sie wiederherzustellen.",Assemblez la première relique en récoltant ses 3 parties au Niveau 1.,Monta la primera reliquia juntando 3 piezas de la primera fase.,Slož první relikvii ze třech dílů v úrovni 1,스테이지 1에서 첫번째 유물의 모든 3 조각을 모아 합치게.,Verzamel de eerste relic door alle 3 de onderdelen in Niveau 1 te verzamelen.,Assembla la prima reliquia collezionando tutte e 3 le parti nel Livello 1.,,收集第一关的三部分以组装第一件遗迹,
ASS_SHOP1,"While you were busy fighting everything, I found this stuff. Purchase away!","Enquanto você se ocupava matando tudo, achei isso. Compre à vontade!",ENQUANTO VCS TAVAM MORRENDO LÁ EU ACHEI TD ESSES TREM. PD COMPRA TD KKK,"While you were busy fighting everything, I found this stuff. Purchase away!",あなたが たたかいにあけくれているあいだ、 こんなものを みつけました。 たくさん かってね!,"Während du mit der Ballerei beschäftigt warst, habe ich was tolles gefunden. Du kannst es mir gerne abkaufen!","Pendant que vous étiez occupé à vous battre, j'ai trouvé ceci. Achetez le donc!","Mientras estabas ocupado luchando , me encontré con esto. ¡Cómpralo!",Zatím co jsi byl zaneprázdněn bojem jsem objevil tyhle kousky relikvie. Pokud chceš prodám je,"자네가 보이는데로 쏴죽이고 다니는 동안에, 나는 이 것들을 찾아냈지. 사가게나!","Terwijl je met alles wat je zag aan het vechten was, heb ik dit spul gevonden. Koop maar raak!","Mentre ti impegnavi a combattere di tutto, ho trovato questa cosa. Vuoi acquistarla?
",,在你忙于战斗的时候，我找到了这件东西。要就买走吧！,
ASS_SHOP2,"A relic is useless until you find all 3 parts. Buy everything, just in case.",Uma relíquia é inútil até você encontrar todas as 3 partes. Compre tudo!,TEM Q ACHAR AS 3 PARTES ANTES DE USAR OS NEGÓCIO. GASTA O DINHEIRO VLW,"A relic is useless until you find all 3 parts. Buy everything, just in case.",いぶつは すべてのかけらをみつけるまでは やくにたたない。 ねんのため、 ぜんぶ かっていきなさい,"Die Reliquien funktionieren erst, wenn du alle 3 Stücke gefunden hast. Los, kauf schon.","Une relique est inutile sans ses 3 parties. Achetez les toutes, juste au cas où.","Una reliquia es inútil si no tienes las 3 partes. Cómpralo todo, por si acaso.","Relikvie nemá cenu dokud neobjevíš všechny 3 části, tak nakupuj.",유물은 세 조각이 모두 모이지 않으면 아무 소용이 없지! 이것저것 다 사가게나. 혹시 또 모르잖나?,"Een relic is nutteloos totdat je alle 3 de delen hebt gevonden. Koop alles wat je kan, voor de zekerheid.","Una reliquia è inutile finché non trovi tutte e 3 le parti. Acquista tutto, non si sa mai.",,一件遗迹需要你找到全部三个部分才会有用。以防万一，把所有东西都买了吧。,
ASS_SHOP3,You can unlock weapons permanently for our Armory by buying them. From me.,Você pode destravar armas permanentemente ao comprá-las. De mim.,COMPRA UM CANHÃO D MIM E VC PODE USAR ELE SEMPRE,You can unlock weapons permanently for our Armory by buying them. From me.,これらをかうと へいしゃのぶきの えいきゅうのしようけんを えられます,"Du kannst alle Waffen permanent freischalten, wenn du sie kaufst. Aus meiner Hand.",Vous pouvez débloquer des armes de manière permanente pour notre armurie en les achetant. A moi même.,Puedes desbloquear armas permanentemente de nuestra armería comprándomelas.,"Zbraň si můžeš odemknout napořád pokud si jí zakoupíš u mě, budeš jí mít na lodi ve zbrojovně",우리 무기고에서 무기들을 영구히 잠금해제 하려면 사는 수 밖에 없지. 누가 파냐고? 누가 팔까.,Je kunt wapens permanent vrijspelen voor ons wapenarsenaal door ze te kopen. Van mij.,Puoi sbloccare le armi permanentemente per la nostra armeria acquistandole. Da me.,,,
ASS_SHOP4,Im sure you will eventually buy your way to victory.,Estou certo de que você vai comprar seu caminho até a vitória.,TO LIGADO Q VC VAI COMPRA A PARADA CERTA E GG,Im sure you will eventually buy your way to victory.,あなたは さいしゅうてきに しょうりへのみちを かうでしょう,Du wirst es noch schaffen dich bis zum Ziel durchzumogeln.,Je suis sûr que vous allez finir par acheter votre chemin vers la victoire.,Estoy seguro de que comprarás tu camino a la victoria.,Jsem si jistý že když si to koupíš pomůže ti to k vítěztví,"난 이걸 확신한다네, 승리하려면 어쨌거나 사야되지 않겠나?",Ik weet zeker dat je je uiteindelijk naar de overwinning koopt.,Sono sicuro che acquisterai i giusti strumenti per vincere.,,我相信你最终会买向胜利。,
ASS_SHOP5,"Buy something, will ya?","Ei, compre alguma coisa!",PÔ. COMPRA ALGO AÍ,"Buy something, will ya?",なにか かっていきますか?,Wie wärs mit einem kleinen Einkauf?,"Achetez moi quelque chose, voulez-vous?","Compra algo, ¿quieres?","Kup si něco, chceš ?","내가 나물 파는것도 아닌데, 이것들 살만하지 않겠나?","Kijken, kijken maar kopen? Koop eens iets, alstjeblieft!","Acquista qualcosa, che dici?",,买点东西呗？,
ASS_SHOP6,How do these Relics work? It is a secret to everyone.,Como essas Relíquias funcionam? É um segredo pra todo mundo.,NINGUEM SABE COMO FUNCIONA ESSAS PARADA NA REAL,How do these Relics work? It is a secret to everyone.,これらのいぶつが どんなこうかだって? それは ひみつです,Wie funktionieren diese Reliquien? Keiner weiß es genau.,Comment ces reliques fonctionnent? C'est un secret pour tout le monde.,"¿Cómo funcionan estas reliquias? Es un secreto para todo el mundo.
",Jak ty relikvie fungují je tajemstvím pro každého,뭐? 이 유물들이 어떤 원리로 작동하냐고? 낸들 아나.,Hoe deze Relics werken? Het is voor iedereen een mysterie.,Come funzionano queste Reliquie? E' un segreto per chiunque.,,,
