,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASS_RELIC,There is treasure buried somewhere around here!,Tem tesouro enterrado por aqui em algum lugar!,TEM LEMBRANÇA ENTERRADO AQUE,Где-то поблизости зарыто сокровище!,このちかくに たからが うまっています!,Hier ist irgendwo ein Schatz vergraben!,Il y a un trésor enterré quelque part par ici!,¡Hay un tesoro enterrado por aquí!,Nekde tady je zakopany poklad,이 근처 어딘가에 보물이 묻혀있다.,Er is hier in de buurt een schat begraven!,C'è un tesoro sepolto da qualche parte qui intorno!,附近有寶藏,这里的某个地方埋藏了宝藏！,Ada harta yang terkubur di sekitar sini!,Skrzynia ze skarbem jest gdzieś tutaj zakopana!,A közelben egy Ereklye van eletmetve!,,Det er en skatt gravd ned ett eller annet sted here!,,,"Some Great Loot Round Here, Matey!",יש אוצר קבור איפה שהוא כאן!,Det är en skatt nergrävd någonstans i närheten,Υπάρχει θυσαυρός θαμένος κάπου εδώ γύρω!,Mảnh Thánh Vật được chôn đâu đó quanh đây!,Buralarda bir yerde gömülü bir hazine var!,يوجد كنز مدفون في مكان قريب من هنا!,Um tesouro está enterrado aqui perto!,Täällä on haudattu aarre jossain!,Тук някъде има заровено съкровище!,Kažkur čia yra paslėptas lobis!
ASS_CONGRATS,Nice find. I suppose I cannot charge you for that one...,Belo achado. Imagino que não posso te cobrar por isso aí...,Q PALHA. EU QRIA VENDER P VC ESSE,"Отличная находка.Полагаю, я не могу взять с тебя плату за это...",よくみつけました。 このことで おかねをとる つもりはありません...,Schöner Fund. Für den kann ich wohl nichts verlangen...,Jolie trouvaille! J'imagine que je ne peux pas te la facturer celle là...,Buen descubrimiento. Supongo que no puedo cobrarte por eso...,"Pekny nalez, verím že nebude jen jeden",잘 찾았네. 이거 요금청구는 할수 없겠구만...,Goed gevonden. Ik neem aan dat je me hiervoor niet gaat betalen...,Ottima scoperta. Suppongo che non possa farti pagare per quello...,找到了呢。可惜我不能向你收錢...,你找到了绝佳的宝藏！但是我大概难以支付报酬了...,Temuan yang bagus.aku kira aku tidak bisa menyuruhmu membayar untuk itu,Niezłe znalezisko! Za to wyjątkowo nie musisz płacić...,Ügyes. Azt hiszem ezért az egyért nem kell fizetned.,,"Fint funn, der. Se på denne som på meg. Neste gang må du betale.",,,"Eh, Keep it.","מציאה נחמדה, אני מנחש שלא אוכל לבקש תשלום",Fint fynd. Jag antar att jag inte kan ta betalt för den...,Καλή ανακάλυψη! Νομίζω δεν μπορώ να σου χρεώσω κάτι για αυτό...,Xin chúc mừng ! Như vậy là tôi không thể tính tiền bạn được rồi,İyi buldun. Sanırım bunun için senden bir ücret alamam.,لقية حسنة. أعتقد أنه لا يمكن أن آخذ منك أجرًا لقاء هذه...,Bom achado! Suponho que não te posso cobrar por isso...,Hieno löytö. Luulempa ettem voi laskuttaa sinua tuosta...,,Geras radinys. Manau negaliu prašyti mokesčio už šitą...
ASS_TUTORIAL,"Good morning, sunshine. Maybe you should try the tutorial first?","Bom dia, lindeza. Talvez você deva tentar o tutorial primeiro.",EI NOOB. MELHOR ENTRAR NA ESCOLINHA ANTES KKK,"Доброе утро, солнышко. Может быть сначала стоит пройти обучение?",おはよう、 おねぼうさん。 さいしょに チュートリアルを うけませんか?,"Guten Morgen, Sonnenschein. Vielleicht solltest du erst das Tutorial versuchen?","Bonjour, mon rayon de soleil. Peut-être que devriez-vous commencer par le tutoriel d'abord?","Buenos días, rayito de sol. ¿Quiza deberías probar el tutorial primero?","Dobre rano, mozna bys nejdriv chtel zkusit tutoriál",좋은 아침이네. 일단 튜토리얼을 해보는게 어떻겠나.,Goedemorgen schat. Misschien moet je de tutorial eerst proberen?,"Buongiorno, Tesoro. Forse dovresi provare il Tutorial per cominciare?",早啊菜鳥，也許你該試試訓練關,天气晴朗，早上好！或许你可以先试试教程关？,"Selamat pagi, kawan. Mungkin kamu harus mencoba Tutorial terlebih dahulu?","Witaj złotko, może na początek zapoznasz się z samouczkiem jak grać?","Jó reggelt, napsugaram. Talán először próbáld ki az Oktatópályát.",,"God morgen, solstråle. Ønsker du kanskje å gå gjennom spill instruksene?",,,"Learn The Ropes, Or Don't Complain When You Can't Do Nothin' Right.","בוקר טוב, אולי תנסה את ההדרכה קודם לכן?","God morgon, solstråle. Du kanske borde pröva instruktionsnivån först?","Καλημέρα, αγάπη μου. Ίσως να δοκίμαζες την εκμάθηση πρώτα;",Chào buổi sáng người đẹp. Bạn có chắc là không muốn thử Chế độ hướng dẫn trước?,Günaydın birtanem . Belki önce eğitim bölümünü denemelisin?,صباح الخير أيها الحبيب، ألا يجدر بك تجريب الدورة التعليمية أولًا؟,"Bom dia, lindeza. Talvez devas tentar o tutorial primeiro?","Huomenta, päivänsäde. Voisit varmaan ensin koittaa ohjekenttää?","Добро утро, слънчо.","Gerą rytą, saulytę. Gal pirmiausia turėtum išbandyt apmokymus?"
ASS_GREETING,I have located some relics down on the Asteroid Dungeon. Hop on the teleporter!,Eu localizei algumas relíquias no Asteróide Masmorra. Entre no teleportador!,ACHEI COISA MASSA NA PEDRA ALI. ENTRA NO PORTALZINHO,"Я обнаружил несколько реликвий внизу, в подземельях Астероида. Запрыгивай в телепорт!",しょうわくせいダンジョンに いぶつをおいてきました。 テレポーターに のってください!,Ich habe einige Reliquien auf dem Dungeonasteroiden entdeckt. Zum Teleporter!,J'ai localisé quelques reliques sur le donjon Astéroid. Hop sur le téléporteur!,He localizado algunas reliquias en la Mazmorra Asteroide. ¡Entra en el teletransportador!,"Zjistil jsem nejaké relikvie v asteroidi kobce, sup do teleportu!",난 소행성 던전에 몇 유물들을 눈여겨보아왔다네. 전송기로 뛰어들게나.,Ik heb een paar relics gevonden bij de Kerker der Astroïden. Spring op de teleporter!,Ho localizzato alcune reliquie nel Dugeon Asteroide. Salta sul teletrasporto!,我在小行星地牢探測到遺跡。快進傳送門！,我探测到行星地牢里有遗迹的迹象。快去传送门！,,Namierzyłem kilka reliktów na Asteroidzie Lochu. Wskakuj do teleportera!,Észleltem néhány Ereklyét az Aszeroida Dzsungelben. Nyomás a teleporthoz!,,Jeg har peilet inn noen relikvier nede ved Astroidegruvene. Hopp inn i portalen!,,,"Some Great Loot Down There, Get Crackin'!","איתרתי קצת פסלים על האסטרואיד, עלה על המשגר!",Jag har lokaliserat lite reliker nere i Astroid Hålan. Hoppa in i teleportören!,Εχω εντοπίσει μερικά κειμίλια κάτω στο Μπουντρούμι του Αστεροϊδή. Ανέβα στον τηλεμεταφορέα!,Tôi đã xác định được Thánh Vật ở Thiên Thạch. Đi tới chỗ dịch chuyển nào !!,Astroid Zindanı'nda bazı yadigarlar tespit ettim. Işınlanma cihazına atla!,وجدت مكان بعض الآثار في ديماس الكويكب، هيا اقفز على الناقل!,Localizei algumas relíquias na Masmorra Asteróide. Entra no teletransportador!,Löysin reliikkejä Asteroidiluolasta. Hyppää teleportteriin!,,Aš nustačiau kelias relikvijas Asteroido požemyje. Šok ant teleporto!
ASS_FIRSTSTAGEDONE,"Each relic has 3 parts. If you find any part, I’ll let you buy it from me.","Cada relíquia tem 3 partes. Se você encontrar uma, eu deixo você comprá-la de mim.",CADA LEMBRANCINHA TEM 3 PEDAÇO. EU VO ACHA PRIMEIRO E TE VENDER KKK,Каждая реликвия состояит из 3 частей. Найдешь одну из них - позволю купить ее у меня.,いぶつは 3つのぶぶんにわかれています。 もし どれかをみつけたら、 わたしから かってもらいます,"Jede Reliquie hat 3 Stücke. Wenn du eins findest, verkauf ich es dir gerne zurück.","Chaque relique possède 3 parties. Si vous trouvez une partie, je vous laisserai me l'acheter.","Cada reliquia tiene 3 partes. Si encuentras una parte, te la venderé.","Kazdá relikvie má 3 kousky, mel bys najít všechny. Nechám tě nejaké koupit ode me.","각 유물은 3 부분으로 되어있다네. 만약 자네가 어떤 조각이라도 찾아낸다면, 나에게서 살수 있다네","Elk relic heeft 3 delen. Als je een onderdeel hebt gevonden, mag je het van me overkopen.","Ogni reliquia è composta da 3 parti. Se non trovi una parte, te la lascerò acquistare da me.",每個遺跡有三個部件。找到任一部件就可以在我這邊購買,每个遗迹由三个碎片组成。找到任意一部分后，你就可以从我这里花钱赎回它。,,Każdy relikt ma 3 cześci. Jeśli znajdzie je wszystkie będziesz mógł je odkupić.,"Minden Ereklyének 3 darabja van. Ha megtalálsz egy darabot, megengedem, hogy megvedd tőlem.",,"Hvert relikvie består av tre deler. Om du finner noen deler, kan du kjøpe de av meg.",,,All the Really Great Loot Got Split to Three Parts. Find em All!,"לכל פסל יש שלושה חלקים, אם תמצא כל חלק, אני אתן לך לקנות אותו ממני","Varje relik har 3 delar. Om du hittar någon del, låter jag dig köpa den från mig.","Κάθε κειμήλιο έχει 3 μέρη. Αν βρείς οποιοδήποτε μέρος, θα σε αφήσω να το αγοράσεις απο εμένα.",Mỗi Thánh Vật có 3 mảnh vỡ. Tôi có thể bán cho bạn những Mảnh vỡ còn lại nếu như bạn tìm thấy được 1 Mảnh trước.,Her yadigarın üç parçası vardır. Eğer herhangi bir parça bulursan geri kalanları benden alabilirsin.,كل قطعة أثرية لها ثلاثة أجزاء، إذا عثرتَ على أي جزء سأدعك تشتريه مني.,"Cada relíquia tem 3 partes. Se encontrares alguma parte, deixo-te comprá-la de mim.","Kaikissa reliikeissä on 3 palaa. Jos löydät mitään osaa, annan sinun ostaa sen minulta.",,"Kieviena relikvija turi 3 dalis. Jeigu rasi nors vieną, aš leisiu tau nusipirkti ją iš manės."
ASS_CHECKPOINTREACHED,"I could teleport you straight to Stage 2. Trouble worth some money, no?","Eu poderia te teleportar direto para a Fase 2. Vale uma grana, não?",QUER UM ATALHO P MUNDO 2? ABRO UM POR UNS TROCADO VLW,"Могу перенести тебя на Уровень 2. Труд достойный вознаграждения, правда?",あなたを ステージ2につれていけます。 おかねをはらうだけのかちがある、 そうでしょう?,Ich könnte dich direkt zu Level 2 teleportieren. Natürlich nicht umsonst.,"Je peux vous téléporter au Niveau 2 en échange d'argent. Ca en vaut la peine, non?","Podría teletransportarte directamente al nivel 2. Pero la molestia valdria algo de dinero, ¿no?",Mužu te nechat teleportovat do úrovne 2 ale práce stojí nejaké peníze ne ?,난 자네를 스테이지 2로 보내줄 수 있다네. 돈을 좀 들인다면 말이지.,"Ik zou je meteen naar Niveau 2 kunnen teleporteren. Kosten noch moeite besparen, nietwaar?","Posso teletrasportarti direttamente al Livello 2. Un favore per qualche moneta, ci stai?",我可以直接傳送你到第二關。不過得給些慰勞你說是不是？,我可以直接将你传送到第二关。不过这得花点钱，如何？,,"Mogę cię teleportować na Poziom 2. Podróż warta tej kasy, co nie?","Rögtön a 2. Szintre tudnálak Teleportálni. Megéri az árát, nemde?",,"Jeg kan teleportere deg rett til nivå 2. Det er viss du vil betal for det, da.",,,This 'ere Teleporter Takes You Closer to Your Goal... For a Price.,"אני יכול לשגר אותך לשלב 2, מהומה ששווה קצת שלל, לא?","Jag skulle kunna teleportera dig direkt till Nivå 2. Värt lite pengar,va?","Θα μπορούσα να σε τηλεμεταφέρο κατευθίαν στην 2η πίστα. Φασαρία που αξίζει μερικά χρήματα, ε;",Tôi có thể đưa bạn ngay tới Màn 2. Nhưng mà đầu tiên là tiền đâu ?,Seni doğrudan Bölüm 2'ye ışınlayabilirim. Tehlikenin bir bedeli vardır değil mi?,أستطيع نقلك مباشرة إلى المرحلة الثانية، لكن التعب يكلف بعض المال، صحيح أم لا؟,"Eu podia teletransportar-te diretamente para o Nível 2. Isto vale algum dinheiro, não?","Voisin teleportata sinut heti Tasolle 2. Rahan arvoinen vaiva, eikö?",,"Aš galėčiau nuteleportuot tave tiesiai į 2 lygį. Ar neduotum truputį grynųjų, ne?"
ASS_FIRSTRELIC,Assemble the first relic by collecting all of its 3 pieces in Stage 1.,Monte a primeira relíquia ao coletar suas 3 partes na Fase 1,MONTE A PRIMEIRA LEMBRANCINHA PEGANDO OS PEDASO NA FASE 1,Собери первую реликвию найдя все 3 части на Уровне 1.,ステージ1で 3つのかけらをあつめて さいしょのいぶつを くみたててください,"Sammle alle 3 Stücke der ersten Reliquie in Level 1, um sie wiederherzustellen.",Assemblez la première relique en récoltant ses 3 parties au Niveau 1.,Ensambla la primer reliquia juntando 3 piezas en el primer nivel.,Sloz první relikvii ze třech dílů v úrovni 1,스테이지 1에서 첫번째 유물의 모든 3 조각을 모아 합치게.,Verzamel de eerste relic door alle 3 de onderdelen in Niveau 1 te verzamelen.,Assembla la prima reliquia collezionando tutte e 3 le parti nel Livello 1.,集齊第一關的三部件來組裝這個遺跡,收集第一关的三个碎片以组装第一件遗迹,,Skompletuj pierwszy relikt przez zebranie wszystkich 3 części z Poziomu 1.,"Gyűjts össze 3 darabot az 1. Szinten, hogy megszerezd az első Ereklyéd.",,Samle sammen den første relikvien ved å skaffe de 3 delene på nivå 1.,,,Rebuild the Great Loot by Finding All Three Parts,הרכב את הפסל הראשון על ידי אסיפת כל החלקים בשלב הראשון,Sätt ihop den första reliken genom att samla alla 3 av dens bitar i Nivå 1.,Συναρμολόγησε το πρώτο κειμήλιο μαζεύοντας όλα από τα 3 κομμάτια του στην 1η πίστα.,Thu thập 3 Mảnh vỡ ở Màn 1 để sở hữu Thánh Vật đầu tiên.,Üç parçasını Bölüm 1'de toplayarak ilk yadigarı oluşturabilirsin.,ركب القطعة الأثرية الأولى بجمع كل أجزاءها الثلاثة في المرحلة الأولى,Monta a primeira relíquia apanhando todas as suas 3 partes no Nível 1.,Rakenna ensimmäinen reliikki löytämällä kaikki 3 palaa tasosta 1.,,Sustatyk pirmą relikviją surasdamas visas 3 jos dalis 1 lygije.
ASS_SHOP1,"While you were busy fighting everything, I found this stuff. Purchase away!","Enquanto você se ocupava matando tudo, achei isso. Compre à vontade!",ENQUANTO VCS TAVAM MORRENDO LÁ EU ACHEI TD ESSES TREM. PD COMPRA TD KKK,"Пока ты был занят уничтожая все подряд, я нашел вот это барахло. Налетай!",あなたが たたかいにあけくれているあいだ、 こんなものを みつけました。 たくさん かってね!,"Während du mit der Ballerei beschäftigt warst, habe ich was tolles gefunden. Du kannst es mir gerne abkaufen!","Pendant que vous étiez occupé à vous battre, j'ai trouvé ceci. Achetez le donc!","Mientras estabas ocupado luchando contra todo, yo encontré estas cosas. ¡Cómpralas!",Zatím co jsi byl zaneprázdnen bojem jsem objevil tyhle kousky relikvie. Pokud chces prodám je,"자네가 보이는데로 쏴죽이고 다니는 동안에, 나는 이 것들을 찾아냈지. 사가게나!","Terwijl je met alles wat je zag aan het vechten was, heb ik dit spul gevonden. Koop maar raak!","Mentre ti impegnavi a combattere di tutto, ho trovato questa cosa. Vuoi acquistarla?",當你在作戰時，我找到這玩意。要就給錢吧！,在你浴血奋战之时，我找到了这个玩意。要就买走吧！,,"Kiedy byłeś zajęty mordowaniem, znalazłem trochę przedmiotów. Kup coś jeśli chcesz. A chcesz.","Miközben te el voltál foglalva, hogy legyilkolj mindenkit, ezeket a cuccokat találtam. Vedd és vidd!",,"Mens du var opptatt å slåss, skaffet jeg noen greier. Kjøp om du har lyst!",,,Check Out What I Scav- Found Lying Around While You Fought!,"בזמן שהיית עסוק בלהילחם בהכל, אני מצאתי את כל הדברים האלה, קדימה קנה!","Medans du var upptagen med att slåss, hittade någon grej. Köp iväg!","Οσο ασχολιόσουν με το να πολεμάς τα πάντα, βρήκα αυτά τα πράγματα. Πάρε πάρε!","Trong khi bạn đang sống chết ở ngoài kia, tôi tìm thấy mấy món này. Mại dzô !!",Sen orada her şeyle savaşırken ben bu şeyi buldum. Satın al geç!,بينما كنتَ مشغولاً بقتال كل شيء، وجدت هذه الأشياء. اشتر الآن!,"Enquanto estavas ocupado matando tudo, encontrei isto. Compra à vontade!","Kun olit kiireinen taistellessasi, löysin nämä kamat. Osta pois!",,"Kol tu buvai užimtas kovoje, Aš radau šitai. Išparduodu!"
ASS_SHOP2,"A relic is useless until you find all 3 parts. Buy everything, just in case.",Uma relíquia é inútil até você encontrar todas as 3 partes. Compre tudo!,TEM Q ACHAR AS 3 PARTES ANTES DE USAR OS NEGÓCIO. GASTA O DINHEIRO VLW,"Реликвия бесполезна, пока ты не найдешь 3 части. Купи все, на всякий случай.",いぶつは すべてのかけらをみつけるまでは やくにたたない。 ねんのため、 ぜんぶ かっていきなさい,"Die Reliquien funktionieren erst, wenn du alle 3 Stücke gefunden hast. Los, kauf schon.","Une relique est inutile sans ses 3 parties. Achetez les toutes, juste au cas où.","Una reliquia es inútil si no tienes las 3 partes. Cómpralo todo, por si acaso.","Relikvie nemá cenu dokud neobjevís vsechny 3 cásti, tak nakupuj.",유물은 세 조각이 모두 모이지 않으면 아무 소용이 없지! 이것저것 다 사가게나. 혹시 또 모르잖나?,"Een relic is nutteloos totdat je alle 3 de delen hebt gevonden. Koop alles wat je kan, voor de zekerheid.","Una reliquia è inutile finché non trovi tutte e 3 le parti. Acquista tutto, non si sa mai.",缺件的遺跡是沒有用的。看到就買以防萬一。,当找到全部三个碎片时，一个遗迹才会起作用。以防万一，请把所有东西都买了吧。,,Relikt jest bezużyteczny jeśli nie masz wszystkich jego części.,"Egy Ereklye használhatatlan, amíg meg nem találod mind a 3 darabját. Vegyél meg mindent, a biztonság kedvéért.",,En relikvie er ubrukelig om du ikke har alle tre delene. Kjøp alt for sikkerheten skyld.,,,You Never Know What Might Be Part Of Great Loot... So Just Buy It All!,"פסל הוא חסר שימוש עד שתמצא את כל שלושת החלקים, קנה את הכל בכל מקרה","En relik är värdelös innan du har hittat alla 3 bitar. Köp allting, ifall att.","Το κειμήλιο είναι άχρηστο εκτός αν βρείς ολα τα 3 μέρη. Καλου κακού, αγόρασε τα πάντα.",Mảnh vỡ Thánh Vật chỉ là phế thải trừ khi kiếm được 3 Mảnh. Mua hết cho chắc ăn.,Bir yadigar üç parçasını da bulmadan hiçbir işe yaramaz. Ne olur ne olmaz diye hepsini satın al.,القطعة الأثرية عديمة الفائدة ما لم تجد أجزاءها الثلاثة، تجهز من الآن واشتر كل شيء.,"Uma relíquia é inútil a menos que encontres todas as 3 partes. Compra tudo, mais vale prevenir.","Reliikki on turha, ellet löydä kaikkia kolmea palaa. Osta kaikki, varmuuden varalta.",,"Relikvija niekam tikusi jei neturi visų 3 dalių. Pirk viską, dėl visą pikto."
ASS_SHOP3,You can unlock weapons permanently for our Armory by buying them. From me.,Você pode destravar armas permanentemente ao comprá-las. De mim.,COMPRA UM CANHÃO D MIM E VC PODE USAR ELE SEMPRE,Оружие открывается навсегда. Если ты его купишь. У меня!,これらをかうと へいしゃのぶきの えいきゅうのしようけんを えられます,"Du kannst alle Waffen permanent freischalten, wenn du sie kaufst. Aus meiner Hand.",Vous pouvez débloquer des armes de manière permanente pour notre armurie en les achetant. A moi même.,Puedes desbloquear armas permanentemente para nuestra armería si las compras. De mi.,"Zbraň si můžeš odemknout napořád pokud si jí zakoupíš u mě, budeš jí mít na lodi ve zbrojovně",우리 무기고에서 무기들을 영구히 잠금해제 하려면 사는 수 밖에 없지. 누가 파냐고? 누가 팔까.,Je kunt wapens permanent vrijspelen voor ons wapenarsenaal door ze te kopen. Van mij.,Puoi sbloccare le armi permanentemente per la nostra armeria acquistandole. Da me.,你可以從我這邊購買武器將武裝庫填滿,购买的武器能永久解锁，存放在武器库里面。对，从我这里购买。,,Możesz odblokować bronie na zawsze kupując je u mnie.,"Feloldhatsz fegyvereket a Fegyverraktárban, ha megveszed őket... Tőlem.",,Du kan få fler våpen permanent på lagerromet ved å kjøpe dem. Fra meg.,,,"If You Buy It Here, Your Ship Gets a Copy.","אתה יכול לשחרר את את הנשקים באופן תמידי אם תקנה אותם, ממני",Du kan låsa upp vapen permanent till vårt Vapenföråd genom att köpa dem. Från mig.,Μπορείς να ξεκλειδώσεις όπλα μόνιμα για το Οπλοστασιό μας αγοραζoντάς τα. Από εμένα.,Bạn có thể sở hữu vũ khí trong kho mình vĩnh viễn bằng cách mua nó ... qua tôi !,Silahları benden satın alarak cephaneliğimiz için bu silahları kalıcı olarak açabilirsin.,تستطيع توفير الأسلحة بشكل دائم لمستودع أسلحتنا إذا اشتريتهم، مني طبعاً.,Podes desbloquear armas permanentemente comprando-as. De mim.,Voit avata aseita pysyvästi Asekaupastamme ostamalla ne. Minulta.,,"Gali atsidaryti ginklus visam laikui į savo arsenalą, pikdamas juos. Iš manęs."
ASS_SHOP4,Im sure you will eventually buy your way to victory.,Estou certo de que você vai comprar seu caminho até a vitória.,TO LIGADO Q VC VAI COMPRA A PARADA CERTA E GG,"Уверен, однажды ты сможешь купить себе путь к победе.",あなたは さいしゅうてきに しょうりへのみちを かうでしょう,Ich bin mir sicher du wirst dir den Weg zum Sieg noch kaufen.,Je suis sûr que vous allez finir par acheter votre chemin vers la victoire.,Estoy seguro de que podras comprar tu camino a la victoria.,Jsem si jistý že když si to koupíš pomůže ti to k vítěztví,"난 이걸 확신한다네, 승리하려면 어쨌거나 사야되지 않겠나?",Ik weet zeker dat je je uiteindelijk naar de overwinning koopt.,Sono sicuro che acquisterai i giusti strumenti per vincere.,我確定你可以一路買到贏。,我相信你最终会买向胜利。,,"Jestem pewny, że twój zakup doprowadzi Cię do zwycięstwa.","Biztos vagyok benne, hogy végül megveszed az utat a győzelemig.",,Jeg er bombesikker på at du vil kjøpe deg til seier.,,,"If You Buy Enough Cra- Gear, I'm Sure You Can Win, Cap!",אני בטוח שבסופו של דבר אתה תקנה את דרכך לניצחון,Jag är säker på att du förr eller senare vill köpa din väg till seger.,Είμαι πεπεισμένος οτι τελικώς θα καταφέρεις να αγοράσεις τον δρόμο σου προς την νίκη.,"Tôi chắc chắn rằng nếu bạn đưa cho trùm cuối đủ tiền, hắn sẽ cho bạn thắng.",Eminim ki eninde sonunda zaferin kapısını paranla açacaksın.,أنا متأكد أنك سوف تشتري طريق النصر في النهاية.,"Tenho a certeza que, eventualmente, vais comprar o teu caminho para a vitória.",Olen varma että ostat ennenpitkää itsesi voittoon.,,"Aš tikras, kad su laiku tu išsipirksi sau kelią iki pergalės."
ASS_SHOP5,"Buy something, will ya?","Ei, compre alguma coisa!",PÔ. COMPRA ALGO AÍ,"Покупать-то будешь, или как?",なにか かっていきますか?,Wie wärs mit einem kleinen Einkauf?,"Achetez moi quelque chose, voulez-vous?","Compra algo, ¿quieres?","Kup si něco, chceš ?","내가 나물 파는것도 아닌데, 이것들 살만하지 않겠나?","Kijken, kijken maar kopen? Koop eens iets, alstjeblieft!","Acquista qualcosa, che dici?",嘿，買個東西吧？,嘿，买点东西呗？,,Kupujesz coś czy będziesz sie tak gapił?,"Vásárolj valamit, ha már itt vagy.",ซื้อสักอย่างไหมหละ?,Kjøp noe da!,,,Jus' Gimme Your Loot!,האם אתה תקנה משהו?,"Du tänker köpa något, va?","Αγόρασε κάτι, τι λες;",Nhìn là phải mua đó ? Được không ?,"Bir şeyler al, olur mu?",تعال اشتر شيئًا!,Tu! Compra qualquer coisa!,Ostatko jotain?,,"Nupirk kažka, malonėtum?"
ASS_SHOP6,How do these Relics work? It is a secret to everyone.,Como essas Relíquias funcionam? É um segredo pra todo mundo.,NINGUEM SABE COMO FUNCIONA ESSAS PARADA NA REAL,Как эти штуки работают? Никто собственно и не знает.,これらのいぶつが どんなこうかだって? それは ひみつです,Wie funktionieren diese Reliquien? Keiner weiß es genau.,Comment ces reliques fonctionnent? C'est un secret pour tout le monde.,¿Cómo funcionan estas reliquias? Es un secreto para todo el mundo.,Jak ty relikvie fungují je tajemstvím pro každého,뭐? 이 유물들이 어떤 원리로 작동하냐고? 낸들 아나.,Hoe deze Relics werken? Het is voor iedereen een mysterie.,Come funzionano queste Reliquie? E' un segreto per chiunque.,遺跡怎麼用？誰也不知道。,你问我遗迹如何运作？这可是个大秘密。,,Jak działają te relikty? Nikt jeszcze tego nie odkrył.,"Hogyan működnek az Ereklyék? Ez egy titok, amit senki sem tud.",,Hvordan fungerer disse relikviene? Det er en hemmelighet til alle.,,,How Does This Crap Even Work? Who Knows.,איך הפסלים האלו עובדים? זה סוד לכולם.,Hur dem här Relikerna fungerar? Det är en hemlighet för alla.,Πως λειτουργούν αυτά τα Κειμήλια; Είναι ενα μυστηριο για όλους.,Thánh Vật hoạt động như thế nào ? Bạn phải hỏi Thánh mới biết.,Bu yadigarlar nasıl çalışır? İşte bu herkes için bir sır.,كيف تعمل هذه الآثار؟ هذا سر لا يعلمه أحد.,Como funcionam as reliquias? É um segredo para toda a gente.,Miten nämä reliikit toimivat? Se on salaisuus kaikille.,,Kaip šios relikvijos veikia? Tai paslaptis visiems.
ASS_LEVEL1_1,I should probably have told you about these armed thugs around the Asteroid.,Acho que tinha que ter te contado sobre os capangas armados no Asteróide.,VACILEI ERA PRA TER FALADO DOS BIXO NO ASTERODE,"Наверное, я должен был предупредить тебя об этих вооруженных бандитах по всему Астероиду?",しょうわくせいのまわりにいる ぶそうきょうあくはんのことを あなたにいったはずですよ,"Ach ja, hier wimmelt es nur so von bewaffneten Biestern. Hups, zu spät.",J'aurais probablement dû vous prévenir à propos de ces voyous armés autour de l'astéroïde.,Probablemente debería haberte dicho algo sobre estos matones armados en todo el Asteroide.,Pravděpodobně bych ti měl říct o těch ozbrojených lupičích na asteroidu,난 소행성 주위에 얼쩡대는 이 무장한 무뢰배 녀석들에 대해 자네에게 말해줬었지.,Ik zou je misschien moeten hebben verteld over deze gewapende barbaren rond de Astroïde.,Avrei dovuto avvisarti di questi teppisti armati attorno all'Asteroide.,我應該向你提起過這些武裝暴徒了,我应该已经对你提起过这些在行星地牢附近走动的武装暴徒了。,,Powinienem był ci powiedzieć o tych uzbrojonych bandytach wokół Asteroidy.,Talán említenem kellett volna neked ezeket a fegyveres banditákat itt az Aszteroida körül.,,Jeg burde ha fortalt deg om disse bandittende rundt Astroiden.,,,"Should've Mentioned the Privateers, huh...",בטח הייתי צריך לספר לך על הבריונים החמושים מסביב לאסטרואיד,Jag borde antagligen ha berättat för dig om dem här beväpnade banditerna omkring Astroiden.,Πιθανώς θα έπρεπε να σου έιχα πει για τους οπλισμένους κλέφτες γύρω εκεί στον Αστεροϊδή.,Tôi quên nhắc bạn về lũ côn đồ ở Thiên Thạch này... chắc không sao.,Sana muhtemelen Astroid'in etrafındaki silahlı serserilerden bahsetmeliydim.,ربما كان علي إخبارك عن هؤلاء المجرمين المسلحين في الكويكب.,Provalvelmente devia ter-te contado sobre os bandidos armados á volta do Asteroide.,Olisi varmaan pitänyt kertoa näistä aseistetuista roistoista kaikkialla Asteroidilla.,,"Turėjau tau pranešt, kad Asteroide yra bandytų."
